"Houston",14,747,525,15,70.28,6072,8.13,47,433.71,2.01,11.57,10,4,0
"Texas Tech",13,669,448,17,66.97,5028,7.52,38,386.77,2.54,11.22,9,4,0
"Hawaii",13,569,339,17,59.58,4381,7.7,25,337,2.99,12.92,6,7,0
"Troy",13,529,333,10,62.95,4375,8.27,24,336.54,1.89,13.14,9,4,0
"Notre Dame",12,447,301,5,67.34,3882,8.68,30,323.5,1.12,12.9,6,6,0
"Bowling Green",13,596,381,7,63.93,4110,6.9,27,316.15,1.17,10.79,7,6,0
"Kansas",12,506,320,10,63.24,3724,7.36,22,310.33,1.98,11.64,5,7,0
"Cincinnati",13,472,311,8,65.89,4014,8.5,39,308.77,1.69,12.91,12,1,0
"Duke",12,501,308,10,61.48,3660,7.31,24,305,2,11.88,5,7,0
"Arkansas",13,439,247,9,56.26,3842,8.75,32,295.54,2.05,15.55,8,5,0
"Oklahoma",13,519,300,15,57.8,3760,7.24,28,289.23,2.89,12.53,8,5,0
"Idaho",13,396,240,15,60.61,3727,9.41,28,286.69,3.79,15.53,8,5,0
"Northwestern",13,531,342,14,64.41,3725,7.02,20,286.54,2.64,10.89,8,5,0
"Missouri",13,467,274,11,58.67,3711,7.95,26,285.46,2.36,13.54,8,5,0
"SMU",13,472,286,14,60.59,3666,7.77,22,282,2.97,12.82,8,5,0
"Texas A&M",13,509,302,8,59.33,3661,7.19,30,281.62,1.57,12.12,6,7,0
"BYU",13,419,282,14,67.3,3659,8.73,34,281.46,3.34,12.98,11,2,0
"Fla. Atlantic",12,444,257,7,57.88,3356,7.56,26,279.67,1.58,13.06,5,7,0
"Toledo",12,445,271,16,60.9,3342,7.51,21,278.5,3.6,12.33,5,7,0
"UTEP",12,422,229,13,54.27,3331,7.89,17,277.58,3.08,14.55,4,8,0
"Western Mich.",12,528,317,14,60.04,3306,6.26,24,275.5,2.65,10.43,5,7,0
"Texas",14,540,362,16,67.04,3831,7.09,29,273.64,2.96,10.58,13,1,0
"Miami (OH)",12,534,317,21,59.36,3281,6.14,15,273.42,3.93,10.35,1,11,0
"North Carolina St.",12,421,248,13,58.91,3275,7.78,32,272.92,3.09,13.21,5,7,0
"Florida St.",13,437,296,13,67.73,3534,8.09,16,271.85,2.97,11.94,7,6,0
