"Nevada",13,607,4484,7.39,48,344.92,8,5,0
"Georgia Tech",14,792,4136,5.22,47,295.43,11,3,0
"Air Force",13,815,3685,4.52,31,283.46,8,5,0
"Navy",14,820,3927,4.79,44,280.5,10,4,0
"TCU",13,595,3114,5.23,35,239.54,12,1,0
"Oregon",13,547,3012,5.51,38,231.69,10,3,0
"UAB",12,463,2759,5.96,17,229.92,5,7,0
"Fresno St.",13,555,2976,5.36,30,228.92,8,5,0
"Mississippi St.",12,555,2731,4.92,21,227.58,5,7,0
"Florida",14,555,3105,5.59,30,221.79,13,1,0
"Stanford",13,536,2837,5.29,39,218.23,8,5,0
"Alabama",14,601,3011,5.01,31,215.07,14,0,0
"Auburn",13,550,2756,5.01,24,212,8,5,0
"Virginia Tech",13,573,2706,4.72,33,208.15,10,3,0
"Wisconsin",13,581,2650,4.56,33,203.85,10,3,0
"Army",12,593,2443,4.12,13,203.58,5,7,0
"Illinois",12,497,2405,4.84,22,200.42,3,9,0
"Ohio St.",13,563,2540,4.51,20,195.38,11,2,0
"Northern Ill.",13,531,2537,4.78,27,195.15,7,6,0
"Utah St.",12,496,2311,4.66,25,192.58,4,8,0
"Kentucky",13,551,2486,4.51,26,191.23,7,6,0
"Oklahoma St.",13,555,2441,4.4,22,187.77,9,4,0
"Temple",13,551,2431,4.41,29,187,9,4,0
"West Virginia",13,508,2423,4.77,29,186.38,9,4,0
"Michigan",12,494,2234,4.52,27,186.17,5,7,0
"Boise St.",14,508,2605,5.13,30,186.07,14,0,0
"Middle Tenn.",13,519,2418,4.66,22,186,10,3,0
"North Texas",12,420,2223,5.29,27,185.25,2,10,0
"Louisiana Tech",12,499,2210,4.43,20,184.17,4,8,0
"Texas A&M",13,544,2394,4.4,25,184.15,6,7,0
"La.-Monroe",12,488,2207,4.52,21,183.92,6,6,0
"Mississippi",13,503,2387,4.75,22,183.62,9,4,0
"Southern Miss.",13,512,2358,4.61,23,181.38,7,6,0
"Pittsburgh",13,479,2344,4.89,25,180.31,10,3,0
"Iowa St.",13,516,2340,4.53,17,180,7,6,0
"Kansas St.",12,504,2159,4.28,22,179.92,6,6,0
"Western Ky.",12,445,2074,4.66,18,172.83,0,12,0
"South Fla.",13,508,2222,4.37,22,170.92,8,5,0
"Connecticut",13,528,2219,4.2,30,170.69,8,5,0
"Clemson",14,496,2385,4.81,24,170.36,9,5,0
"Penn St.",13,467,2207,4.73,20,169.77,11,2,0
"California",13,471,2203,4.68,27,169.46,8,5,0
"Central Mich.",14,515,2347,4.56,29,167.64,12,2,0
"Southern California",13,438,2168,4.95,24,166.77,9,4,0
"Idaho",13,453,2141,4.73,25,164.69,8,5,0
"Buffalo",12,434,1962,4.52,16,163.5,5,7,0
"Georgia",13,447,2093,4.68,17,161,8,5,0
"Utah",13,485,2084,4.3,23,160.31,10,3,0
"Vanderbilt",12,451,1920,4.26,12,160,2,10,0
"Toledo",12,409,1917,4.69,23,159.75,5,7,0
"Ball St.",12,436,1913,4.39,14,159.42,2,10,0
"Arizona",13,430,2072,4.82,19,159.38,8,5,0
"Memphis",12,436,1899,4.36,20,158.25,2,10,0
"Tennessee",13,477,2043,4.28,19,157.15,7,6,0
"Fla. Atlantic",12,434,1829,4.21,17,152.42,5,7,0
"East Carolina",14,529,2129,4.02,24,152.07,9,5,0
"UTEP",12,401,1813,4.52,27,151.08,4,8,0
"Tulsa",12,480,1809,3.77,19,150.75,5,7,0
"Florida St.",13,422,1944,4.61,27,149.54,7,6,0
"Troy",13,444,1939,4.37,29,149.15,9,4,0
"Texas",14,513,2066,4.03,28,147.57,13,1,0
"Nebraska",14,512,2059,4.02,20,147.07,10,4,0
"BYU",13,470,1894,4.03,26,145.69,11,2,0
"Colorado St.",12,416,1731,4.16,15,144.25,3,9,0
"Marshall",13,471,1855,3.94,18,142.69,7,6,0
"New Mexico St.",13,503,1840,3.66,10,141.54,3,10,0
"Oregon St.",13,440,1818,4.13,26,139.85,8,5,0
"Washington",12,390,1668,4.28,13,139,5,7,0
"Cincinnati",13,361,1803,4.99,23,138.69,12,1,0
"Miami (FL)",13,463,1794,3.87,21,138,9,4,0
"Boston College",13,472,1780,3.77,17,136.92,8,5,0
"La.-Lafayette",12,460,1643,3.57,19,136.92,6,6,0
"Michigan St.",13,419,1779,4.25,16,136.85,6,7,0
"Wyoming",13,496,1770,3.57,14,136.15,7,6,0
"Purdue",12,388,1633,4.21,17,136.08,5,7,0
"Arkansas St.",12,428,1623,3.79,21,135.25,4,8,0
"Oklahoma",13,485,1750,3.61,18,134.62,8,5,0
"Rutgers",13,484,1747,3.61,21,134.38,9,4,0
"North Carolina",13,477,1727,3.62,14,132.85,8,5,0
"Wake Forest",12,429,1582,3.69,13,131.83,5,7,0
"Arkansas",13,395,1713,4.34,23,131.77,8,5,0
"UCF",13,480,1697,3.54,20,130.54,8,5,0
"Houston",14,403,1815,4.5,23,129.64,10,4,0
"Notre Dame",12,401,1539,3.84,13,128.25,6,6,0
"Missouri",13,444,1651,3.72,15,127,8,5,0
"UNLV",12,389,1522,3.91,20,126.83,5,7,0
"Syracuse",12,421,1519,3.61,15,126.58,4,8,0
"Eastern Mich.",12,421,1515,3.6,15,126.25,0,12,0
"Louisville",12,424,1502,3.54,15,125.17,4,8,0
"LSU",13,435,1596,3.67,15,122.77,9,4,0
"South Carolina",13,435,1576,3.62,12,121.23,7,6,0
"North Carolina St.",12,419,1451,3.46,15,120.92,5,7,0
"Arizona St.",12,382,1431,3.75,14,119.25,4,8,0
"Akron",12,393,1421,3.62,13,118.42,3,9,0
