"TCU",13,801,3116,3.89,20,239.69,12,1,0
"Alabama",14,844,3418,4.05,18,244.14,14,0,0
"Texas",14,918,3527,3.84,27,251.93,13,1,0
"Florida",14,845,3536,4.18,18,252.57,13,1,0
"Ohio St.",13,827,3410,4.12,19,262.31,11,2,0
"North Carolina",13,835,3505,4.2,22,269.62,8,5,0
"Nebraska",14,955,3808,3.99,16,272,10,4,0
"Oklahoma",13,866,3544,4.09,22,272.62,8,5,0
"Penn St.",13,811,3568,4.4,17,274.46,11,2,0
"Iowa",13,844,3595,4.26,23,276.54,11,2,0
"Air Force",13,793,3748,4.73,24,288.31,8,5,0
"Virginia Tech",13,835,3841,4.6,20,295.46,10,3,0
"Arizona St.",12,750,3571,4.76,29,297.58,4,8,0
"Boise St.",14,879,4203,4.78,31,300.21,14,0,0
"South Carolina",13,828,3909,4.72,31,300.69,7,6,0
"Army",12,726,3656,5.04,34,304.67,5,7,0
"Wisconsin",13,782,3974,5.08,34,305.69,10,3,0
"Rutgers",13,827,4001,4.84,29,307.77,9,4,0
"Utah",13,876,4080,4.66,32,313.85,10,3,0
"Clemson",14,967,4400,4.55,33,314.29,9,5,0
"Mississippi",13,866,4091,4.72,25,314.69,9,4,0
"Tennessee",13,852,4144,4.86,29,318.77,7,6,0
"Pittsburgh",13,836,4151,4.97,32,319.31,10,3,0
"South Fla.",13,836,4183,5,30,321.77,8,5,0
"Arizona",13,826,4186,5.07,37,322,8,5,0
"Boston College",13,896,4259,4.75,28,327.62,8,5,0
"LSU",13,910,4259,4.68,19,327.62,9,4,0
"BYU",13,871,4278,4.91,35,329.08,11,2,0
"Miami (FL)",13,831,4285,5.16,31,329.62,9,4,0
"Northern Ill.",13,793,4294,5.41,35,330.31,7,6,0
"Oklahoma St.",13,919,4323,4.7,35,332.54,9,4,0
"Temple",13,854,4342,5.08,34,334,9,4,0
"UCLA",13,836,4342,5.19,34,334,7,6,0
"Navy",14,856,4693,5.48,31,335.21,10,4,0
"Oregon",13,953,4372,4.59,35,336.31,10,3,0
"West Virginia",13,865,4375,5.06,30,336.54,9,4,0
"Syracuse",12,743,4044,5.44,44,337,4,8,0
"Georgia",13,868,4412,5.08,41,339.38,8,5,0
"Kansas St.",12,757,4079,5.39,36,339.92,6,6,0
"Southern California",13,919,4426,4.82,31,340.46,9,4,0
"Arkansas St.",12,784,4086,5.21,36,340.5,4,8,0
"Buffalo",12,790,4112,5.21,34,342.67,5,7,0
"Central Mich.",14,939,4819,5.13,30,344.21,12,2,0
"La.-Monroe",12,819,4164,5.08,42,347,6,6,0
"Ohio",14,1002,4879,4.87,35,348.5,9,5,0
"Oregon St.",13,838,4543,5.42,44,349.46,8,5,0
"Northwestern",13,842,4556,5.41,41,350.46,8,5,0
"UCF",13,871,4557,5.23,37,350.54,8,5,0
"Texas Tech",13,949,4581,4.83,35,352.38,9,4,0
"Middle Tenn.",13,952,4613,4.85,38,354.85,10,3,0
"Kent St.",12,861,4272,4.96,32,356,5,7,0
"Virginia",12,851,4301,5.05,36,358.42,3,9,0
"Kentucky",13,845,4676,5.53,38,359.69,7,6,0
"Georgia Tech",14,831,5044,6.07,42,360.29,11,3,0
"North Carolina St.",12,762,4335,5.69,49,361.25,5,7,0
"Vanderbilt",12,845,4353,5.15,33,362.75,2,10,0
"Colorado",12,805,4356,5.41,42,363,3,9,0
"Mississippi St.",12,774,4392,5.67,41,366,5,7,0
"Akron",12,833,4412,5.3,46,367.67,3,9,0
"Louisiana Tech",12,828,4420,5.34,36,368.33,4,8,0
"Duke",12,799,4423,5.54,42,368.58,5,7,0
"Connecticut",13,862,4794,5.56,38,368.77,8,5,0
"Minnesota",13,914,4799,5.25,37,369.15,6,7,0
"Missouri",13,938,4811,5.13,40,370.08,8,5,0
"Louisville",12,768,4453,5.8,38,371.08,4,8,0
"Marshall",13,847,4833,5.71,41,371.77,7,6,0
"Cincinnati",13,935,4862,5.2,37,374,12,1,0
"Auburn",13,945,4863,5.15,46,374.08,8,5,0
"Purdue",12,844,4519,5.35,43,376.58,5,7,0
"Miami (OH)",12,777,4528,5.83,55,377.33,1,11,0
"East Carolina",14,984,5296,5.38,38,378.29,9,5,0
"California",13,890,4925,5.53,40,378.85,8,5,0
"Michigan St.",13,914,4951,5.42,42,380.85,6,7,0
"San Diego St.",12,851,4584,5.39,44,382,4,8,0
"Wake Forest",12,800,4597,5.75,39,383.08,5,7,0
"Kansas",12,836,4599,5.5,42,383.25,5,7,0
"Ball St.",12,831,4640,5.58,41,386.67,2,10,0
"Colorado St.",12,816,4653,5.7,47,387.75,3,9,0
"Washington",12,758,4674,6.17,36,389.5,5,7,0
"Southern Miss.",13,950,5102,5.37,40,392.46,7,6,0
"Wyoming",13,912,5113,5.61,44,393.31,7,6,0
"Michigan",12,838,4720,5.63,39,393.33,5,7,0
"Maryland",12,817,4756,5.82,46,396.33,2,10,0
"SMU",13,929,5162,5.56,48,397.08,8,5,0
"Tulsa",12,848,4766,5.62,38,397.17,5,7,0
"Notre Dame",12,771,4773,6.19,38,397.75,6,6,0
"Bowling Green",13,860,5177,6.02,47,398.23,7,6,0
"Indiana",12,836,4812,5.76,45,401,4,8,0
"Arkansas",13,905,5215,5.76,38,401.15,8,5,0
"Stanford",13,879,5235,5.96,44,402.69,8,5,0
"Illinois",12,811,4839,5.97,45,403.25,3,9,0
"La.-Lafayette",12,810,4852,5.99,46,404.33,6,6,0
"Hawaii",13,871,5259,6.04,50,404.54,6,7,0
"Baylor",12,907,4867,5.37,37,405.58,4,8,0
"Toledo",12,848,4889,5.77,60,407.42,5,7,0
"Nevada",13,831,5321,6.4,49,409.31,8,5,0
"North Texas",12,843,4948,5.87,54,412.33,2,10,0
"Fresno St.",13,829,5378,6.49,47,413.69,8,5,0
"Iowa St.",13,929,5406,5.82,36,415.85,7,6,0
"New Mexico",12,873,5024,5.75,56,418.67,1,11,0
"Western Mich.",12,843,5026,5.96,41,418.83,5,7,0
"Tulane",12,804,5074,6.31,57,422.83,3,9,0
"New Mexico St.",13,875,5507,6.29,53,423.62,3,10,0
"Troy",13,937,5519,5.89,50,424.54,9,4,0
"Texas A&M",13,934,5542,5.93,56,426.31,6,7,0
"Eastern Mich.",12,749,5127,6.85,62,427.25,0,12,0
"Idaho",13,868,5632,6.49,63,433.23,8,5,0
"Florida St.",13,837,5650,6.75,53,434.62,7,6,0
"San Jose St.",12,796,5315,6.68,54,442.92,2,10,0
"UTEP",12,880,5363,6.09,53,446.92,4,8,0
"Houston",14,1049,6318,6.02,56,451.29,10,4,0
"Fla. Atlantic",12,775,5438,7.02,52,453.17,5,7,0
"Utah St.",12,858,5461,6.36,54,455.08,4,8,0
"UAB",12,857,5462,6.37,50,455.17,5,7,0
"UNLV",12,824,5474,6.64,50,456.17,5,7,0
"Memphis",12,854,5490,6.43,53,457.5,2,10,0
"Rice",12,844,5568,6.6,70,464,2,10,0
"Western Ky.",12,829,5739,6.92,63,478.25,0,12,0
"FIU",12,897,5899,6.58,55,491.58,3,9,0
"Washington St.",12,865,6144,7.1,60,512,1,11,0
